type,value,source
url,http://Pinkipinevazzey.pw,CISA
url,http://Fragnantbui.shop,CISA
url,http://Medicinebuckerrysa.pw,CISA
url,http://Musicallyageop.pw,CISA
url,http://stogeneratmns.shop,CISA
url,http://wallkedsleeoi.shop,CISA
url,http://Tirechinecarpet.pw,CISA
url,http://reinforcenh.shop,CISA
url,http://reliabledmwqj.shop,CISA
url,http://Musclefarelongea.pw,CISA
url,http://Forbidstow.site,CISA
url,http://gutterydhowi.shop,CISA
url,http://Fanlumpactiras.pw,CISA
url,http://Computeryrati.site,CISA
url,http://Contemteny.site,CISA
url,http://Ownerbuffersuperw.pw,CISA
url,http://Seallysl.site,CISA
url,http://Dilemmadu.site,CISA
url,http://Freckletropsao.pw,CISA
url,http://Opposezmny.site,CISA
url,http://Faulteyotk.site,CISA
url,http://Hemispheredodnkkl.pw,CISA
url,http://Goalyfeastz.site,CISA
url,http://Authorizev.site,CISA
url,http://ghostreedmnu.shop,CISA
url,http://Servicedny.site,CISA
url,http://blast-hubs.com,CISA
url,http://offensivedzvju.shop,CISA
url,http://friendseforever.help,CISA
url,http://blastikcn.com,CISA
url,http://vozmeatillu.shop,CISA
url,http://shiningrstars.help,CISA
url,http://penetratebatt.pw,CISA
url,http://drawzhotdog.shop,CISA
url,http://mercharena.biz,CISA
url,http://pasteflawwed.world,CISA
url,http://generalmills.pro,CISA
url,http://citywand.live,CISA
url,http://hoyoverse.blog,CISA
url,http://nestlecompany.pro,CISA
url,http://esccapewz.run,CISA
url,http://dsfljsdfjewf.info,CISA
url,http://naturewsounds.help,CISA
url,http://travewlio.shop,CISA
url,http://decreaserid.world,CISA
url,http://stormlegue.com,CISA
url,http://touvrlane.bet,CISA
url,http://governoagoal.pw,CISA
url,http://paleboreei.biz,CISA
url,http://calmingtefxtures.run,CISA
url,http://foresctwhispers.top,CISA
url,http://tracnquilforest.life,CISA
url,http://sighbtseeing.shop,CISA
url,http://advennture.top,CISA
url,http://collapimga.fun,CISA
url,http://holidamyup.today,CISA
url,http://pepperiop.digital,CISA
url,http://seizedsentec.online,CISA
url,http://triplooqp.world,CISA
url,http://easyfwdr.digital,CISA
url,http://strawpeasaen.fun,CISA
url,http://xayfarer.live,CISA
url,http://jrxsafer.top,CISA
url,http://quietswtreams.life,CISA
url,http://oreheatq.live,CISA
url,http://plantainklj.run,CISA
url,http://starrynsightsky.icu,CISA
url,http://castmaxw.run,CISA
url,http://puerrogfh.live,CISA
url,http://earthsymphzony.today,CISA
url,http://weldorae.digital,CISA
url,http://quavabvc.top,CISA
url,http://citydisco.bet,CISA
url,http://steelixr.live,CISA
url,http://furthert.run,CISA
url,http://featureccus.shop,CISA
url,http://smeltingt.run,CISA
url,http://targett.top,CISA
url,http://mrodularmall.top,CISA
url,http://ferromny.digital,CISA
url,http://ywmedici.top,CISA
url,http://jowinjoinery.icu,CISA
url,http://rodformi.run,CISA
url,http://legenassedk.top,CISA
url,http://htardwarehu.icu,CISA
url,http://metalsyo.digital,CISA
url,http://ironloxp.live,CISA
url,http://cjlaspcorne.icu,CISA
url,http://navstarx.shop,CISA
url,http://bugildbett.top,CISA
url,http://latchclan.shop,CISA
url,http://spacedbv.world,CISA
url,http://starcloc.bet,CISA
url,http://rambutanvcx.run,CISA
url,http://galxnetb.today,CISA
url,http://pomelohgj.top,CISA
url,http://scenarisacri.top,CISA
url,http://jawdedmirror.run,CISA
url,http://changeaie.top,CISA
url,http://lonfgshadow.live,CISA
url,http://liftally.top,CISA
url,http://nighetwhisper.top,CISA
url,http://salaccgfa.top,CISA
url,http://zestmodp.top,CISA
url,http://owlflright.digital,CISA
url,http://clarmodq.top,CISA
url,http://piratetwrath.run,CISA
url,http://hemispherexz.top,CISA
url,http://quilltayle.live,CISA
url,http://equatorf.run,CISA
url,http://latitudert.live,CISA
url,http://longitudde.digital,CISA
url,http://climatologfy.top,CISA
url,http://starofliught.top,CISA
